step,AKT,BAD,BAX,BCL2,CASP3,CASP9,CCND1,DNA_DAMAGE,EGFR,ERBB3,ERK,GRB2_SOS,MDM2,MEK,MET,MTOR,MYC,NFKB,P21,P53,PI3K,PTEN,RAF,RAS,STAT3
0,0.2,0.3,0.2,0.3,0.1,0.2,0.2,0.12,0.98,0.2,0.2,0.2,0.4,0.2,0.95,0.2,0.2,0.2,0.2,0.08,0.2,0.45,0.2,0.2,0.2
1,0.2207,0.2671,0.1687,0.321,0.1263,0.1832,0.2079,0.12,0.98,0.4217,0.2207,0.4531,0.435,0.2207,0.95,0.2174,0.2276,0.211,0.2026,0.08,0.2982,0.45,0.2207,0.2207,0.2605
2,0.2498,0.2436,0.1464,0.3501,0.1415,0.1683,0.2181,0.12,0.98,0.5658,0.2374,0.6176,0.4623,0.2374,0.95,0.2315,0.2477,0.2201,0.2043,0.08,0.4075,0.45,0.2374,0.2772,0.2998
3,0.2878,0.2255,0.1294,0.3805,0.1497,0.1549,0.23,0.12,0.98,0.6595,0.2508,0.7246,0.4856,0.2508,0.95,0.2446,0.264,0.2288,0.2054,0.08,0.5057,0.45,0.2572,0.3455,0.3254
4,0.3307,0.2103,0.1156,0.4091,0.1536,0.1429,0.2435,0.12,0.98,0.7203,0.2616,0.7941,0.5073,0.2626,0.95,0.2584,0.2789,0.2383,0.2062,0.08,0.5855,0.45,0.2816,0.411,0.342
5,0.374,0.1965,0.1041,0.4354,0.1549,0.1323,0.2582,0.12,0.98,0.7599,0.2706,0.8393,0.5287,0.2743,0.95,0.2736,0.2936,0.2487,0.2066,0.08,0.6469,0.45,0.309,0.4671,0.3528
6,0.4142,0.1839,0.0943,0.4593,0.1547,0.123,0.2739,0.12,0.98,0.7856,0.2783,0.8686,0.5496,0.2865,0.95,0.29,0.3086,0.2601,0.2069,0.08,0.6927,0.45,0.3372,0.5121,0.3598
7,0.4494,0.1725,0.086,0.4813,0.1535,0.115,0.2899,0.12,0.98,0.8024,0.2853,0.8877,0.5696,0.2992,0.95,0.3068,0.3238,0.2717,0.2071,0.08,0.7261,0.45,0.3641,0.547,0.3644
8,0.4788,0.1623,0.079,0.5017,0.152,0.108,0.3056,0.12,0.98,0.8132,0.2919,0.9001,0.5881,0.3121,0.95,0.3234,0.3388,0.2832,0.2073,0.08,0.7501,0.45,0.3882,0.5732,0.3673
9,0.5026,0.1536,0.073,0.5206,0.1503,0.1019,0.3206,0.12,0.98,0.8203,0.2984,0.9082,0.6048,0.3248,0.95,0.3389,0.3534,0.294,0.2074,0.08,0.7671,0.45,0.409,0.5925,0.3693
10,0.5214,0.1462,0.068,0.5378,0.1486,0.0967,0.3344,0.12,0.98,0.8249,0.3048,0.9134,0.6194,0.3367,0.95,0.3528,0.3671,0.3037,0.2074,0.08,0.7792,0.45,0.4263,0.6065,0.3705
11,0.5359,0.1401,0.0639,0.5534,0.147,0.0921,0.347,0.12,0.98,0.8279,0.311,0.9168,0.6318,0.3477,0.95,0.365,0.3798,0.3121,0.2074,0.08,0.7876,0.45,0.4403,0.6166,0.3713
12,0.547,0.1351,0.0604,0.5673,0.1455,0.0882,0.3582,0.12,0.98,0.8298,0.3169,0.9191,0.6423,0.3574,0.95,0.3754,0.3913,0.3193,0.2075,0.08,0.7935,0.45,0.4513,0.6238,0.3719
13,0.5553,0.1311,0.0575,0.5795,0.1442,0.0848,0.3681,0.12,0.98,0.8311,0.3224,0.9205,0.651,0.3657,0.95,0.3839,0.4015,0.3253,0.2075,0.08,0.7975,0.45,0.4599,0.6289,0.3722
14,0.5616,0.128,0.0551,0.59,0.143,0.0818,0.3766,0.12,0.98,0.8319,0.3275,0.9214,0.6581,0.3727,0.95,0.3909,0.4105,0.3301,0.2075,0.08,0.8003,0.45,0.4665,0.6324,0.3724
15,0.5661,0.1256,0.0532,0.599,0.1419,0.0793,0.3839,0.12,0.98,0.8324,0.332,0.922,0.6638,0.3785,0.95,0.3965,0.4183,0.334,0.2075,0.08,0.8023,0.45,0.4715,0.6349,0.3726
16,0.5695,0.1237,0.0516,0.6065,0.141,0.0772,0.3901,0.12,0.98,0.8328,0.336,0.9224,0.6684,0.3832,0.95,0.4009,0.4249,0.3371,0.2075,0.08,0.8036,0.45,0.4752,0.6366,0.3727
17,0.5719,0.1222,0.0503,0.6128,0.1402,0.0754,0.3953,0.12,0.98,0.833,0.3394,0.9227,0.6721,0.387,0.95,0.4043,0.4306,0.3395,0.2075,0.08,0.8045,0.45,0.478,0.6378,0.3727
18,0.5737,0.1211,0.0492,0.6179,0.1395,0.0739,0.3996,0.12,0.98,0.8331,0.3423,0.9229,0.675,0.3899,0.95,0.407,0.4353,0.3413,0.2075,0.08,0.8051,0.45,0.48,0.6386,0.3728
19,0.5749,0.1203,0.0483,0.6221,0.1389,0.0726,0.4031,0.12,0.98,0.8332,0.3447,0.923,0.6772,0.3922,0.95,0.409,0.4392,0.3427,0.2075,0.08,0.8055,0.45,0.4815,0.6392,0.3728
20,0.5758,0.1197,0.0477,0.6254,0.1384,0.0716,0.4061,0.12,0.98,0.8333,0.3467,0.923,0.679,0.394,0.95,0.4105,0.4424,0.3438,0.2075,0.08,0.8058,0.45,0.4826,0.6396,0.3728
21,0.5765,0.1192,0.0471,0.6281,0.138,0.0708,0.4084,0.12,0.98,0.8333,0.3483,0.9231,0.6804,0.3954,0.95,0.4117,0.445,0.3446,0.2075,0.08,0.806,0.45,0.4833,0.6399,0.3728
22,0.5769,0.1189,0.0467,0.6302,0.1376,0.0701,0.4104,0.12,0.98,0.8334,0.3496,0.9231,0.6815,0.3964,0.95,0.4125,0.4471,0.3452,0.2075,0.08,0.8061,0.45,0.4839,0.64,0.3728
23,0.5772,0.1187,0.0463,0.6319,0.1373,0.0695,0.4119,0.12,0.98,0.8334,0.3506,0.9231,0.6823,0.3972,0.95,0.4131,0.4488,0.3456,0.2075,0.08,0.8062,0.45,0.4843,0.6402,0.3728
24,0.5774,0.1185,0.046,0.6332,0.1371,0.0691,0.4132,0.12,0.98,0.8334,0.3514,0.9231,0.683,0.3978,0.95,0.4136,0.4502,0.346,0.2075,0.08,0.8063,0.45,0.4846,0.6402,0.3728
25,0.5776,0.1183,0.0458,0.6342,0.1369,0.0687,0.4141,0.12,0.98,0.8334,0.352,0.9232,0.6835,0.3982,0.95,0.4139,0.4513,0.3462,0.2075,0.08,0.8063,0.45,0.4848,0.6403,0.3728
26,0.5777,0.1183,0.0456,0.6349,0.1367,0.0684,0.4149,0.12,0.98,0.8334,0.3525,0.9232,0.6839,0.3985,0.95,0.4142,0.4521,0.3464,0.2075,0.08,0.8064,0.45,0.4849,0.6403,0.3728
27,0.5778,0.1182,0.0455,0.6355,0.1366,0.0682,0.4155,0.12,0.98,0.8334,0.3529,0.9232,0.6842,0.3987,0.95,0.4144,0.4528,0.3465,0.2075,0.08,0.8064,0.45,0.485,0.6404,0.3729
28,0.5778,0.1181,0.0454,0.636,0.1365,0.068,0.416,0.12,0.98,0.8334,0.3532,0.9232,0.6844,0.3989,0.95,0.4145,0.4533,0.3466,0.2075,0.08,0.8064,0.45,0.4851,0.6404,0.3729
29,0.5779,0.1181,0.0453,0.6363,0.1364,0.0679,0.4164,0.12,0.98,0.8334,0.3534,0.9232,0.6845,0.399,0.95,0.4146,0.4537,0.3467,0.2075,0.08,0.8064,0.45,0.4851,0.6404,0.3729
30,0.5779,0.1181,0.0453,0.6366,0.1363,0.0678,0.4167,0.12,0.98,0.8334,0.3535,0.9232,0.6847,0.3991,0.95,0.4147,0.454,0.3467,0.2075,0.08,0.8064,0.45,0.4852,0.6404,0.3729
31,0.5779,0.1181,0.0452,0.6368,0.1363,0.0677,0.4169,0.12,0.98,0.8334,0.3537,0.9232,0.6848,0.3992,0.95,0.4147,0.4543,0.3467,0.2075,0.08,0.8064,0.45,0.4852,0.6404,0.3729
32,0.5779,0.118,0.0452,0.6369,0.1362,0.0676,0.417,0.12,0.98,0.8334,0.3538,0.9232,0.6848,0.3992,0.95,0.4147,0.4545,0.3468,0.2075,0.08,0.8064,0.45,0.4852,0.6404,0.3729
33,0.5779,0.118,0.0452,0.637,0.1362,0.0676,0.4172,0.12,0.98,0.8334,0.3538,0.9232,0.6849,0.3993,0.95,0.4148,0.4546,0.3468,0.2075,0.08,0.8064,0.45,0.4852,0.6404,0.3729
34,0.578,0.118,0.0451,0.6371,0.1362,0.0675,0.4173,0.12,0.98,0.8334,0.3539,0.9232,0.6849,0.3993,0.95,0.4148,0.4547,0.3468,0.2075,0.08,0.8064,0.45,0.4852,0.6404,0.3729
