intervention,steps,converged,proliferation_score,survival_score,apoptosis_score,stress_response_score,malignancy_index,delta_proliferation,delta_survival,delta_apoptosis,delta_malignancy,combination_score
capivasertib+venetoclax,32,True,0.5426,0.4824,0.4989,0.5332,0.5132,-0.1032,-0.216,0.2509,-0.1722,0.4231
alpelisib+venetoclax,32,True,0.5648,0.5116,0.467,0.4949,0.5398,-0.081,-0.1868,0.219,-0.1456,0.3646
gefitinib+venetoclax,31,True,0.5728,0.5186,0.4453,0.4678,0.5502,-0.0729,-0.1798,0.1974,-0.1352,0.3326
gefitinib+capivasertib,30,True,0.5339,0.5292,0.4253,0.4735,0.5404,-0.1118,-0.1691,0.1774,-0.145,0.3224
capivasertib+nutlin3,32,True,0.5518,0.5671,0.4411,0.4419,0.5586,-0.094,-0.1313,0.1931,-0.1269,0.32
capivasertib+everolimus,32,True,0.5314,0.5395,0.4238,0.4537,0.5432,-0.1144,-0.1588,0.1758,-0.1422,0.318
capivasertib+ulixertinib,30,True,0.502,0.5573,0.414,0.4537,0.5382,-0.1437,-0.1411,0.166,-0.1473,0.3133
alpelisib+capivasertib,32,True,0.5399,0.5486,0.4169,0.4673,0.5516,-0.1059,-0.1498,0.1689,-0.1339,0.3028
capivasertib+trametinib,27,True,0.5258,0.5621,0.4051,0.448,0.5523,-0.12,-0.1363,0.1571,-0.1331,0.2902
capmatinib+capivasertib,31,True,0.5439,0.5593,0.405,0.4524,0.5595,-0.1018,-0.1391,0.1571,-0.1259,0.283
