node_id,degree_centrality,dynamic_leverage,delta_apoptosis
AKT,0.3333,0.1261,0.1587
PI3K,0.1667,0.0904,0.1122
BCL2,0.2917,0.0617,0.1202
EGFR,0.1667,0.0598,0.069
ERBB3,0.125,0.0532,0.0652
MTOR,0.125,0.0475,0.0531
ERK,0.2083,0.0312,0.0163
MET,0.0833,0.0239,0.0281
NFKB,0.125,0.0227,0.022
STAT3,0.125,0.022,0.0197
MYC,0.1667,0.0212,0.0
CCND1,0.2917,0.0194,0.0
MEK,0.0833,0.0157,0.008
MDM2,0.125,0.0123,0.0616
RAF,0.0833,0.0095,0.0048
RAS,0.0833,0.0068,0.0034
GRB2_SOS,0.125,0.0055,0.0028
DNA_DAMAGE,0.0417,-0.0,0.0
BAX,0.1667,-0.0029,-0.0049
CASP9,0.1667,-0.0064,-0.0077
P53,0.25,-0.0082,-0.0061
BAD,0.0833,-0.0097,-0.0162
PTEN,0.0417,-0.012,-0.0144
P21,0.0833,-0.021,0.0
CASP3,0.125,-0.022,-0.0134
