node_id,delta_malignancy,delta_proliferation,delta_survival,delta_apoptosis
AKT,-0.1261,-0.1002,-0.1408,0.1587
PI3K,-0.0904,-0.0732,-0.1,0.1122
BCL2,-0.0617,-0.0092,-0.0957,0.1202
EGFR,-0.0598,-0.0471,-0.0709,0.069
ERBB3,-0.0532,-0.0439,-0.0584,0.0652
MTOR,-0.0475,-0.0415,-0.0521,0.0531
ERK,-0.0312,-0.0556,-0.0084,0.0163
MET,-0.0239,-0.0212,-0.0251,0.0281
NFKB,-0.0227,-0.0075,-0.0427,0.022
STAT3,-0.022,-0.01,-0.0388,0.0197
MYC,-0.0212,-0.0471,-0.0,0.0
CCND1,-0.0194,-0.0432,0.0,0.0
MEK,-0.0157,-0.028,-0.0041,0.008
MDM2,-0.0123,0.0,0.0,0.0616
RAF,-0.0095,-0.017,-0.0025,0.0048
RAS,-0.0068,-0.0121,-0.0018,0.0034
GRB2_SOS,-0.0055,-0.0098,-0.0014,0.0028
DNA_DAMAGE,0.0,0.0,0.0,0.0
BAX,0.0029,0.0002,0.0052,-0.0049
CASP9,0.0064,0.0037,0.0091,-0.0077
P53,0.0082,0.0147,0.0011,-0.0061
BAD,0.0097,0.0003,0.0182,-0.0162
PTEN,0.012,0.0102,0.013,-0.0144
P21,0.021,0.0467,0.0,0.0
CASP3,0.022,0.0294,0.0174,-0.0134
