step,AKT,BAD,BAX,BCL2,CASP3,CASP9,CCND1,DNA_DAMAGE,EGFR,ERBB3,ERK,GRB2_SOS,MDM2,MEK,MET,MTOR,MYC,NFKB,P21,P53,PI3K,PTEN,RAF,RAS,STAT3
0,0.2,0.3,0.2,0.3,0.1,0.2,0.2,0.12,0.98,0.2,0.2,0.2,0.4,0.2,0.08,0.2,0.2,0.2,0.2,0.08,0.2,0.55,0.2,0.2,0.2
1,0.2207,0.2671,0.1687,0.321,0.1263,0.1832,0.2079,0.12,0.98,0.2568,0.2207,0.3756,0.435,0.2207,0.08,0.2174,0.2276,0.211,0.2026,0.08,0.2787,0.55,0.2207,0.2207,0.2605
2,0.2466,0.2436,0.1464,0.3501,0.1415,0.1683,0.2181,0.12,0.98,0.2938,0.2374,0.4897,0.4623,0.2374,0.08,0.2315,0.2477,0.2201,0.2043,0.08,0.3416,0.55,0.2374,0.2631,0.2998
3,0.274,0.2258,0.1295,0.3805,0.1497,0.1549,0.2297,0.12,0.98,0.3178,0.2508,0.5639,0.4851,0.2508,0.08,0.2441,0.2637,0.2285,0.2054,0.08,0.39,0.55,0.2549,0.3116,0.3254
4,0.3003,0.2117,0.1161,0.409,0.1536,0.1429,0.2421,0.12,0.98,0.3334,0.2616,0.6121,0.5049,0.2623,0.08,0.2561,0.2777,0.2367,0.2062,0.08,0.4265,0.55,0.2743,0.3574,0.342
5,0.3241,0.2001,0.1052,0.4346,0.1549,0.1323,0.2546,0.12,0.98,0.3435,0.2705,0.6434,0.5225,0.2729,0.08,0.2677,0.2904,0.2446,0.2066,0.08,0.4535,0.55,0.2947,0.3966,0.3528
6,0.3445,0.1905,0.0963,0.4571,0.1547,0.1231,0.2668,0.12,0.98,0.3501,0.278,0.6638,0.5381,0.2831,0.08,0.2787,0.3022,0.2522,0.2069,0.08,0.4731,0.55,0.315,0.4282,0.3598
7,0.3614,0.1825,0.0891,0.4766,0.1535,0.1153,0.2782,0.12,0.98,0.3544,0.2846,0.677,0.5518,0.2932,0.08,0.2888,0.3132,0.2592,0.2071,0.08,0.4873,0.55,0.3339,0.4528,0.3644
8,0.3751,0.1758,0.0831,0.4935,0.152,0.1086,0.2888,0.12,0.98,0.3572,0.2905,0.6856,0.5636,0.303,0.08,0.298,0.3234,0.2655,0.2073,0.08,0.4973,0.55,0.3507,0.4713,0.3673
9,0.3858,0.1704,0.0782,0.508,0.1504,0.103,0.2984,0.12,0.98,0.359,0.296,0.6912,0.5737,0.3122,0.08,0.306,0.3327,0.2711,0.2074,0.08,0.5045,0.55,0.3651,0.4851,0.3693
