intervention,steps,converged,proliferation_score,survival_score,apoptosis_score,stress_response_score,malignancy_index,delta_proliferation,delta_survival,delta_apoptosis,delta_malignancy,combination_score
capivasertib+venetoclax,31,True,0.5343,0.4751,0.5073,0.543,0.5052,-0.0747,-0.1785,0.209,-0.1379,0.3469
gefitinib+venetoclax,23,True,0.5508,0.4951,0.4714,0.4985,0.5268,-0.0582,-0.1585,0.1731,-0.1163,0.2894
alpelisib+venetoclax,31,True,0.5584,0.5072,0.4721,0.5005,0.5344,-0.0505,-0.1463,0.1737,-0.1087,0.2824
nutlin3+venetoclax,32,True,0.5991,0.5575,0.4748,0.435,0.5698,-0.0099,-0.096,0.1765,-0.0733,0.2498
capivasertib+nutlin3,31,True,0.5433,0.558,0.4503,0.4542,0.5497,-0.0657,-0.0955,0.1519,-0.0934,0.2453
gefitinib+capivasertib,24,True,0.5271,0.5234,0.4325,0.4813,0.5339,-0.0819,-0.1302,0.1342,-0.1092,0.2434
capivasertib+everolimus,31,True,0.524,0.5317,0.4332,0.4654,0.5352,-0.085,-0.1218,0.1349,-0.1079,0.2428
capivasertib+ulixertinib,29,True,0.4966,0.5487,0.4238,0.4654,0.5308,-0.1123,-0.1048,0.1255,-0.1123,0.2378
everolimus+venetoclax,32,True,0.5673,0.5281,0.4439,0.4365,0.5513,-0.0416,-0.1254,0.1456,-0.0918,0.2374
alpelisib+capivasertib,31,True,0.5363,0.5471,0.419,0.4693,0.549,-0.0726,-0.1065,0.1207,-0.0941,0.2148
