node_id,delta_malignancy,delta_proliferation,delta_survival,delta_apoptosis
AKT,-0.0906,-0.07,-0.1024,0.116
BCL2,-0.0579,-0.009,-0.09,0.112
EGFR,-0.0552,-0.0423,-0.0663,0.0648
PI3K,-0.0534,-0.0421,-0.0597,0.0675
MTOR,-0.0393,-0.0337,-0.0435,0.0444
ERK,-0.0293,-0.0511,-0.0086,0.0166
ERBB3,-0.024,-0.0192,-0.0266,0.03
STAT3,-0.0224,-0.0094,-0.0399,0.0208
NFKB,-0.0197,-0.0061,-0.0372,0.0197
MYC,-0.0182,-0.0404,-0.0,0.0
CCND1,-0.0165,-0.0366,0.0,0.0
MEK,-0.0139,-0.0244,-0.004,0.0077
MDM2,-0.0111,0.0,0.0,0.0557
RAF,-0.0078,-0.0136,-0.0022,0.0043
RAS,-0.005,-0.0088,-0.0014,0.0028
GRB2_SOS,-0.0037,-0.0066,-0.0011,0.0021
MET,-0.0028,-0.0025,-0.0029,0.0033
DNA_DAMAGE,0.0,0.0,0.0,0.0
BAX,0.0038,0.0003,0.0067,-0.0064
CASP9,0.0072,0.0041,0.0103,-0.0087
P53,0.0083,0.0146,0.0013,-0.0063
BAD,0.0129,0.0005,0.0238,-0.0214
P21,0.0209,0.0463,0.0,0.0
CASP3,0.0222,0.0295,0.0177,-0.0137
PTEN,0.0284,0.0234,0.0312,-0.0348
